player,country,position,price,proj_points
Brazil GK1,Brazil,GK,11.0,44.3
Brazil GK2,Brazil,GK,10.3,33.8
Brazil GK3,Brazil,GK,9.3,42.4
Brazil DEF1,Brazil,DEF,11.7,35.9
Brazil DEF2,Brazil,DEF,11.2,46.7
Brazil DEF3,Brazil,DEF,11.5,38.7
Brazil DEF4,Brazil,DEF,10.3,42.5
Brazil DEF5,Brazil,DEF,10.4,41.4
Brazil DEF6,Brazil,DEF,10.8,42.3
Brazil MID1,Brazil,MID,11.8,43.0
Brazil MID2,Brazil,MID,9.5,41.6
Brazil MID3,Brazil,MID,9.4,37.4
Brazil MID4,Brazil,MID,12.8,44.8
Brazil MID5,Brazil,MID,9.8,42.6
Brazil MID6,Brazil,MID,10.3,45.3
Brazil FWD1,Brazil,FWD,12.3,47.0
Brazil FWD2,Brazil,FWD,12.5,48.6
Brazil FWD3,Brazil,FWD,11.2,52.3
Brazil FWD4,Brazil,FWD,11.4,47.9
France GK1,France,GK,9.1,41.4
France GK2,France,GK,10.0,42.2
France GK3,France,GK,9.4,35.9
France DEF1,France,DEF,11.2,40.0
France DEF2,France,DEF,10.8,43.1
France DEF3,France,DEF,8.9,38.6
France DEF4,France,DEF,9.6,42.7
France DEF5,France,DEF,10.9,42.4
France DEF6,France,DEF,9.1,36.9
France MID1,France,MID,10.9,37.6
France MID2,France,MID,10.9,39.2
France MID3,France,MID,9.7,41.3
France MID4,France,MID,13.0,45.9
France MID5,France,MID,11.4,47.1
France MID6,France,MID,10.6,43.2
France FWD1,France,FWD,13.0,46.1
France FWD2,France,FWD,11.8,46.7
France FWD3,France,FWD,10.5,44.8
France FWD4,France,FWD,10.8,43.9
Argentina GK1,Argentina,GK,11.1,45.1
Argentina GK2,Argentina,GK,11.3,43.7
Argentina GK3,Argentina,GK,10.2,42.2
Argentina DEF1,Argentina,DEF,11.1,43.1
Argentina DEF2,Argentina,DEF,9.6,36.9
Argentina DEF3,Argentina,DEF,11.4,45.9
Argentina DEF4,Argentina,DEF,9.7,42.9
Argentina DEF5,Argentina,DEF,11.3,33.8
Argentina DEF6,Argentina,DEF,10.7,40.5
Argentina MID1,Argentina,MID,11.1,44.9
Argentina MID2,Argentina,MID,11.6,48.9
Argentina MID3,Argentina,MID,9.9,44.1
Argentina MID4,Argentina,MID,9.4,32.7
Argentina MID5,Argentina,MID,10.4,46.5
Argentina MID6,Argentina,MID,11.1,37.8
Argentina FWD1,Argentina,FWD,11.6,51.5
Argentina FWD2,Argentina,FWD,10.9,45.5
Argentina FWD3,Argentina,FWD,11.4,44.7
Argentina FWD4,Argentina,FWD,11.5,51.8
England GK1,England,GK,9.8,38.9
England GK2,England,GK,10.4,40.2
England GK3,England,GK,10.3,49.5
England DEF1,England,DEF,9.2,39.9
England DEF2,England,DEF,8.9,36.6
England DEF3,England,DEF,9.2,42.7
England DEF4,England,DEF,10.4,44.8
England DEF5,England,DEF,9.3,37.7
England DEF6,England,DEF,10.7,44.1
England MID1,England,MID,9.1,33.3
England MID2,England,MID,11.4,46.4
England MID3,England,MID,10.6,39.0
England MID4,England,MID,10.4,42.2
England MID5,England,MID,10.2,38.7
England MID6,England,MID,10.8,43.0
England FWD1,England,FWD,11.0,42.0
England FWD2,England,FWD,9.7,32.2
England FWD3,England,FWD,11.5,40.7
England FWD4,England,FWD,10.1,45.2
Spain GK1,Spain,GK,11.4,45.4
Spain GK2,Spain,GK,8.7,46.4
Spain GK3,Spain,GK,11.0,49.6
Spain DEF1,Spain,DEF,10.2,41.2
Spain DEF2,Spain,DEF,10.3,36.2
Spain DEF3,Spain,DEF,11.5,41.2
Spain DEF4,Spain,DEF,9.6,40.6
Spain DEF5,Spain,DEF,9.7,36.5
Spain DEF6,Spain,DEF,10.3,47.7
Spain MID1,Spain,MID,10.2,42.6
Spain MID2,Spain,MID,10.4,47.4
Spain MID3,Spain,MID,10.6,31.9
Spain MID4,Spain,MID,10.1,43.1
Spain MID5,Spain,MID,9.1,36.1
Spain MID6,Spain,MID,9.2,42.4
Spain FWD1,Spain,FWD,10.4,43.8
Spain FWD2,Spain,FWD,10.2,42.3
Spain FWD3,Spain,FWD,12.1,44.5
Spain FWD4,Spain,FWD,11.3,44.9
Portugal GK1,Portugal,GK,7.9,37.4
Portugal GK2,Portugal,GK,9.0,36.3
Portugal GK3,Portugal,GK,9.3,44.7
Portugal DEF1,Portugal,DEF,11.0,37.8
Portugal DEF2,Portugal,DEF,11.8,40.7
Portugal DEF3,Portugal,DEF,10.3,38.5
Portugal DEF4,Portugal,DEF,8.8,38.8
Portugal DEF5,Portugal,DEF,10.8,42.0
Portugal DEF6,Portugal,DEF,10.9,44.6
Portugal MID1,Portugal,MID,9.3,43.3
Portugal MID2,Portugal,MID,10.7,36.4
Portugal MID3,Portugal,MID,10.1,42.4
Portugal MID4,Portugal,MID,9.8,38.4
Portugal MID5,Portugal,MID,11.2,48.6
Portugal MID6,Portugal,MID,10.3,39.0
Portugal FWD1,Portugal,FWD,10.5,37.9
Portugal FWD2,Portugal,FWD,10.2,40.3
Portugal FWD3,Portugal,FWD,10.3,38.9
Portugal FWD4,Portugal,FWD,10.3,46.7
Netherlands GK1,Netherlands,GK,9.8,38.3
Netherlands GK2,Netherlands,GK,9.9,45.9
Netherlands GK3,Netherlands,GK,9.1,33.2
Netherlands DEF1,Netherlands,DEF,10.6,45.6
Netherlands DEF2,Netherlands,DEF,10.3,41.8
Netherlands DEF3,Netherlands,DEF,10.7,46.0
Netherlands DEF4,Netherlands,DEF,11.3,43.0
Netherlands DEF5,Netherlands,DEF,9.3,35.5
Netherlands DEF6,Netherlands,DEF,9.6,39.5
Netherlands MID1,Netherlands,MID,10.6,48.2
Netherlands MID2,Netherlands,MID,9.5,43.3
Netherlands MID3,Netherlands,MID,11.2,53.1
Netherlands MID4,Netherlands,MID,9.1,40.7
Netherlands MID5,Netherlands,MID,11.2,49.6
Netherlands MID6,Netherlands,MID,10.4,41.6
Netherlands FWD1,Netherlands,FWD,11.6,46.1
Netherlands FWD2,Netherlands,FWD,10.2,47.9
Netherlands FWD3,Netherlands,FWD,11.7,49.9
Netherlands FWD4,Netherlands,FWD,11.1,47.5
Germany GK1,Germany,GK,11.1,44.6
Germany GK2,Germany,GK,9.1,28.2
Germany GK3,Germany,GK,11.0,37.4
Germany DEF1,Germany,DEF,9.3,42.1
Germany DEF2,Germany,DEF,9.6,48.6
Germany DEF3,Germany,DEF,9.8,46.4
Germany DEF4,Germany,DEF,8.5,29.0
Germany DEF5,Germany,DEF,10.7,47.7
Germany DEF6,Germany,DEF,10.1,37.1
Germany MID1,Germany,MID,10.3,41.6
Germany MID2,Germany,MID,11.1,39.6
Germany MID3,Germany,MID,10.4,35.4
Germany MID4,Germany,MID,10.9,43.1
Germany MID5,Germany,MID,10.9,43.5
Germany MID6,Germany,MID,11.9,50.1
Germany FWD1,Germany,FWD,8.9,40.1
Germany FWD2,Germany,FWD,11.2,38.7
Germany FWD3,Germany,FWD,11.1,39.0
