date,home_team,away_team,home_score,away_score,tournament,neutral
2019-01-01,Belgium,Costa Rica,9,0,Friendly,False
2019-01-01,Sweden,Honduras,6,0,FIFA World Cup qualification,False
2019-01-01,Italy,Germany,1,3,Friendly,False
2019-01-01,Austria,Qatar,4,1,Friendly,False
2019-01-01,South Korea,Austria,3,1,Friendly,False
2019-01-01,Belgium,Qatar,0,0,Friendly,False
2019-01-01,Egypt,USA,2,4,Friendly,True
2019-01-01,Poland,Australia,1,1,FIFA World Cup qualification,False
2019-01-01,Morocco,New Zealand,1,0,Friendly,False
2019-01-01,Wales,Ukraine,2,3,Friendly,False
2019-02-01,Panama,Jamaica,4,1,Friendly,False
2019-02-01,Ecuador,Austria,0,1,Friendly,False
2019-02-01,Senegal,Ukraine,0,1,FIFA World Cup qualification,True
2019-02-01,Ivory Coast,Uruguay,1,3,FIFA World Cup qualification,False
2019-02-01,Cameroon,Switzerland,0,2,FIFA World Cup qualification,False
2019-02-01,Croatia,Nigeria,4,0,FIFA World Cup qualification,False
2019-02-01,England,Ukraine,12,0,Friendly,False
2019-02-01,Senegal,Spain,1,2,FIFA World Cup qualification,False
2019-02-01,Cameroon,Panama,3,1,Friendly,False
2019-02-01,Spain,Netherlands,1,0,FIFA World Cup qualification,False
2019-03-01,USA,Panama,4,0,Friendly,True
2019-03-01,Italy,Chile,7,0,FIFA World Cup qualification,False
2019-03-01,Denmark,France,2,3,Friendly,False
2019-03-01,Austria,Ukraine,1,1,Friendly,False
2019-03-01,Ivory Coast,Nigeria,1,0,Friendly,False
2019-03-01,Italy,Japan,3,0,Friendly,False
2019-03-01,Japan,Mexico,2,0,Friendly,False
2019-03-01,Algeria,Italy,0,2,FIFA World Cup qualification,False
2019-03-01,Honduras,Germany,0,5,Friendly,False
2019-03-01,Senegal,USA,2,2,FIFA World Cup qualification,False
2019-04-01,Belgium,Uruguay,3,1,FIFA World Cup qualification,False
2019-04-01,Poland,Germany,0,2,Friendly,False
2019-04-01,Ukraine,Italy,0,1,Friendly,False
2019-04-01,Iran,Australia,6,2,Friendly,False
2019-04-01,USA,Cameroon,5,0,FIFA World Cup qualification,False
2019-04-01,Belgium,New Zealand,5,0,Friendly,False
2019-04-01,Canada,Ghana,3,0,Friendly,False
2019-04-01,Qatar,Egypt,0,3,FIFA World Cup qualification,True
2019-04-01,Senegal,Chile,9,1,Friendly,False
2019-04-01,Morocco,Japan,5,1,Friendly,False
2019-05-01,Sweden,Chile,4,3,Friendly,False
2019-05-01,Ecuador,Austria,1,0,Friendly,False
2019-05-01,Poland,Morocco,1,0,Friendly,False
2019-05-01,Spain,Poland,6,0,FIFA World Cup qualification,False
2019-05-01,Ecuador,Morocco,1,3,Friendly,True
2019-05-01,Morocco,Qatar,5,0,Friendly,False
2019-05-01,Argentina,Canada,7,0,Friendly,False
2019-05-01,Argentina,South Korea,8,0,FIFA World Cup qualification,False
2019-05-01,Belgium,Canada,4,0,Friendly,True
2019-05-01,Wales,Panama,1,0,Friendly,True
2019-06-01,Belgium,England,1,1,Friendly,False
2019-06-01,Peru,Uruguay,1,2,FIFA World Cup qualification,False
2019-06-01,Nigeria,Denmark,1,6,Friendly,False
2019-06-01,Austria,Germany,1,5,Friendly,False
2019-06-01,Canada,Germany,1,2,Friendly,False
2019-06-01,Spain,Costa Rica,10,0,Friendly,False
2019-06-01,Uruguay,Spain,1,1,Friendly,False
2019-06-01,Japan,Sweden,6,0,FIFA World Cup qualification,True
2019-06-01,Panama,Sweden,3,3,Friendly,False
2019-06-01,Germany,USA,2,0,FIFA World Cup qualification,False
2019-07-01,England,Tunisia,9,0,FIFA World Cup qualification,False
2019-07-01,Germany,Costa Rica,6,1,FIFA World Cup qualification,False
2019-07-01,Saudi Arabia,Peru,2,2,Friendly,False
2019-07-01,Qatar,France,0,10,FIFA World Cup qualification,False
2019-07-01,Poland,Croatia,1,2,Friendly,False
2019-07-01,England,New Zealand,11,0,FIFA World Cup qualification,False
2019-07-01,Switzerland,England,0,1,Friendly,False
2019-07-01,Panama,South Korea,1,7,Friendly,False
2019-07-01,Costa Rica,Poland,2,5,FIFA World Cup qualification,False
2019-07-01,Wales,Denmark,0,5,Friendly,True
2019-08-01,Croatia,Spain,1,3,Friendly,False
2019-08-01,Switzerland,South Korea,3,0,Friendly,False
2019-08-01,Austria,Italy,0,1,Friendly,False
2019-08-01,Argentina,Australia,12,0,Friendly,False
2019-08-01,Jamaica,Qatar,5,3,Friendly,False
2019-08-01,Ecuador,New Zealand,6,1,Friendly,True
2019-08-01,Iran,Egypt,4,1,Friendly,False
2019-08-01,Honduras,Switzerland,1,5,FIFA World Cup qualification,False
2019-08-01,Algeria,Jamaica,2,1,FIFA World Cup qualification,False
2019-08-01,Australia,Peru,3,1,FIFA World Cup qualification,True
2019-09-01,South Korea,Jamaica,4,0,Friendly,True
2019-09-01,Ukraine,Austria,5,2,Friendly,False
2019-09-01,Colombia,Nigeria,5,0,Friendly,False
2019-09-01,Germany,Ivory Coast,3,0,FIFA World Cup qualification,False
2019-09-01,Honduras,Ecuador,0,5,FIFA World Cup qualification,False
2019-09-01,Algeria,Germany,1,9,Friendly,False
2019-09-01,Argentina,Morocco,6,0,FIFA World Cup qualification,False
2019-09-01,Saudi Arabia,Sweden,1,1,Friendly,False
2019-09-01,Denmark,USA,1,0,Friendly,False
2019-09-01,Austria,Saudi Arabia,4,0,Friendly,True
2019-10-01,Portugal,Costa Rica,8,0,Friendly,False
2019-10-01,Sweden,Iran,1,2,Friendly,False
2019-10-01,Honduras,Peru,0,5,Friendly,False
2019-10-01,Paraguay,Germany,1,3,FIFA World Cup qualification,False
